2020-04-09 11:02:31 
Start install: C:\server\www\shopclear\tmp\JoomShopping_black_template_QS_1.0.1.zip IP:127.0.0.1 UID:567
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/manufacturer/manufacturers.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/manufacturer/products.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/order/listorder.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/order/order.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/order/statusorder.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/block_image_middle.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/block_image_thumb.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/commentemail.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/demofiles.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/load.js.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/playmedia.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/product_default.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/ratingandhits.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/related.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/product/review.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/products/products.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/search/characteristics.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/search/form.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/search/noresult.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/search/products.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/editaccount.js.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/editaccount.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/groupsinfo.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/login.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/user/logout.php
